CUST_UNQ_ID,CUST_ID,LEAD_ID,BATCH_ID,DEAL_ID_APP_ID,PSX_BATCH_ID,NAME,EMPLOYER_NAME,RELATION_NAME,FIRST_NAME,MIDDLE_NAME,LAST_NAME,EXTRA_NAME_1,EXTRA_NAME_2,DOB_DOI,PAN,PASSPORT,VOTER_ID,AADHAAR,DRIVING_LICENSE,RATION_CARD,NREGA,CIN,GSTIN,TAN,BANK_ACCOUNT_NUMBER,LOYALITY_NUMBER,UCIC,CREDIT_CARD_NUMBER,DG_FILLER_COLUMN_1,DG_FILLER_COLUMN_2,DG_FILLER_COLUMN_3,DG_FILLER_COLUMN_4,DG_FILLER_COLUMN_5,DG_FILLER_COLUMN_6,DG_FILLER_COLUMN_7,DG_FILLER_COLUMN_8,DG_FILLER_COLUMN_9,DG_FILLER_COLUMN_10,SOURCE_SYSTEM,CUSTOMER_CATEGORY,GENDER,CUSTOMER_TYPE,RELATION_TYPE,CUSTOMER_STATUS,NAME_SALUTATION,REMARKS,Office_ADDRESS,Residence_CITY,Residence_PINCODE,Residence_STATE,Residence_COUNTRY,Residence_ADDRESS_TYPE,Residence_ADDRESS,ADDRESS_LINE_3,Office_PHONE,Residence_PHONE_TYPE,Residence_EMAIL_ID,Residence_EMAIL_TYPE,RPT_FILLER_COLUMN_1,RPT_FILLER_COLUMN_2,RPT_FILLER_COLUMN_3,RPT_FILLER_COLUMN_4,RPT_FILLER_COLUMN_5
I001,C_I_1,L_I_1,B_I_1,D_I_1,PS_B_1,sai,roshan,raashi,sai,Arnav Verma,Aarav Sharma,Aarush Mehta,Arjun Iyer,15-08-1987,AONPK1325D,PA5243510,EPIC/3875 8233,234567890123,APBZA3234567688,27452910384,6294875103,U54127MH2023PTC,23857402931,QWED56453K,ABN456987213,LOYAL30251687,UCIC300014592,4021567890123456,DG_1_1,DG_2_1,DG_3_1,DG_4_1,DG_5_1,DG_6_1,DG_7_1,DG_8_1,DG_9_1,DG_10_1,Finacle,Co-Applicant,Female,Individual,Mother,Y,Mr,REMARK_1,"21-4-567/32S, Lakshmi Nagar, Near Star Hospital, Kalasiguda, Secunderabad",Rajkot,110001,Andhra Pradesh,I@n#d!a,TEMPORARY,"123, Gokul Apartments, MG Road, Bengaluru, Karnataka 560001",Tolichowki,040-12345678,PERSONAL,user123@example.com,TEMPORARY,RPT_1_1,RPT_2_1,RPT_3_1,RPT_4_1,RPT_5_1
I002,C_I_2,L_I_2,B_I_2,D_I_2,PS_B_2,sai kiran,rishi,kasi,ka,Aisha Sharma,Nidhi Kapoor,Anika Bansal,Aanya Mehta,22-11-2002,DYKPS1459A,PA5243525,EPIC/5410 4674,876543210987,TSHYD6856324536,23501789235,8150349627,U89346TN2018PTC,89021634750,NGPO02915U,HDFC22233358,LOYAL86541320,UCIC300014593,5189247635901278,DG_1_2,DG_2_2,DG_3_2,DG_4_2,DG_5_2,DG_6_2,DG_7_2,DG_8_2,DG_9_2,DG_10_2,Finacle,Co-Applicant,Male,Individual,Father,Y,Mrs,REMARK_2,"8-3-432/19N, Vinayak Colony, Opposite Green Park, Ameerpet, Hyderabad",Bhopal,201301,Arunachal Pradesh,I^ND~IA,PERMANENT,"A-456, Tulsi Vihar, Sector 22, Noida, Uttar Pradesh 201301",Madhapur,040-23456789,RESIDENCE,john.doe456@gmail.com,PERMANENT,RPT_1_2,RPT_2_2,RPT_3_2,RPT_4_2,RPT_5_2
I003,C_I_3,L_I_3,B_I_3,D_I_3,PS_B_3,sai kiran reddy,keshav,sharath,sha,Rohit Kapoor,Arjun Verma,Rohit Verma,Varun Thakur,09-02-1998,CNXJQ2387B,PA5243540,EPIC/2098 6152,456789012345,MHMUM797567249,43629187502,3572964810,U20789KA2015PTC,46218509374,RTYU74382P,SBI974562256,LOYAL14987635,UCIC300014594,6378120498562314,DG_1_3,DG_2_3,DG_3_3,DG_4_3,DG_5_3,DG_6_3,DG_7_3,DG_8_3,DG_9_3,DG_10_3,Finacle,Co-Applicant,Male,Individual,Guardian,N,Ms,REMARK_3,"12-5-678/45W, Sai Nagar, Near Kalyani Theatre, Kukatpally, Hyderabad",Jodhpur,400001,Assam,I-n_d_i_a,TEMPORARY,"789, Radha Niwas, Sion-Trombay Road, Mumbai, Maharashtra 400071",Yousufguda,040-34567890,OFFICE,emily.smith789@hotmail.com,OFFICE,RPT_1_3,RPT_2_3,RPT_3_3,RPT_4_3,RPT_5_3
I004,C_I_4,L_I_4,B_I_4,D_I_4,PS_B_4,sai reddy,kiran,ramehs,ram,Sneha Singh,Ananya Bansal,Ishita Kapoor,Nandini Kapoor,25-06-1975,LMRKT3096C,PA5243567,EPIC/6932 1287,789012345678,KLPKL9812345670,13984620357,2405968137,U63218GJ2012PTC,71534962087,LKJH09123M,ICICI78901234,LOYAL70893421,UCIC300014595,8213456709345678,DG_1_4,DG_2_4,DG_3_4,DG_4_4,DG_5_4,DG_6_4,DG_7_4,DG_8_4,DG_9_4,DG_10_4,CRMS,Co-Applicant,Male,Individual,Spouse,Y,Sri,REMARK_4,"15-2-345/67A, Jubilee Hills, Beside Harmony Mall, Banjara Hills, Hyderabad",Coimbatore,500001,Bihar,I_N-D-I_A,PERMANENT,"B-101, Sunrise Enclave, Sector 15, Chandigarh 160015",Nampally,040-45678901,RESIDENCE,sarah.jones23@yahoo.com,PERSONAL,RPT_1_4,RPT_2_4,RPT_3_4,RPT_4_4,RPT_5_4
I005,C_I_6,L_I_6,B_I_6,D_I_6,PS_B_6,p sai,rishikesh,rammy,ramu,Priya Iyer,Priya Mehra,Nidhi Iyer,Kavya Verma,02-04-1984,QWEAZ5264F,PA5243612,EPIC/1467 9845,987654321234,WNRCH2345678901,23521649753,1738256940,U76590DL2020PTC,38475021693,XCVB12876A,PNB123456789,LOYAL98324517,UCIC300014597,7048152396782051,DG_1_6,DG_2_6,DG_3_6,DG_4_6,DG_5_6,DG_6_6,DG_7_6,DG_8_6,DG_9_6,DG_10_6,Finacle,Co-Applicant,Female,Corporate,Spouse,Y,Mr,REMARK_6,"17-3-123/54C, Vikas Nagar, Opposite Liberty Hospital, Sanath Nagar, Hyderabad",Kochi,700001,Goa,I-N-D-I-A,TEMPORARY,"C-23, Silver Springs, Wakad, Pune, Maharashtra 411057",Sainikpuri,040-67890123,OFFICE,lisa.wilson567@outlook.com,TEMPORARY,RPT_1_6,RPT_2_6,RPT_3_6,RPT_4_6,RPT_5_6
I006,C_I_7,L_I_7,B_I_7,D_I_7,PS_B_7,sai p,rishika,ramu,sai,Kabir Khanna,Aditya Iyer,Arjun Bansal,Rohit Kumar,10-09-2005,JKLOI6352G,PA5243628,EPIC/9356 2108,543210987654,VSDLK7654321987,43701852469,5067291834,U34921RJ2019PTC,50213986475,ZAQW98765B,BOI987654321,LOYAL65472138,UCIC300014598,2693875140123456,DG_1_7,DG_2_7,DG_3_7,DG_4_7,DG_5_7,DG_6_7,DG_7_7,DG_8_7,DG_9_7,DG_10_7,Finacle,Co-Applicant,Male,Corporate,Father,N,Mrs,REMARK_7,"14-6-789/32M, Royal Enclave, Near Mega Mart, Miyapur, Hyderabad",Jamshedpur,800001,Gujarat,I@n%*d!a,PERMANENT,"890, Vishal Residency, Banjara Hills, Hyderabad, Telangana 500034",Miyapur,040-78901234,RESIDENCE,sam.roberts876@gmail.com,OFFICE,RPT_1_7,RPT_2_7,RPT_3_7,RPT_4_7,RPT_5_7
I007,C_I_8,L_I_8,B_I_8,D_I_8,PS_B_8,p sai kiran,likitha,ssai,redy,Nidhi Reddy,Sweta Khanna,Aditi Verma,Tanisha Thakur,05-03-1991,ZXCVB7410H,PA5243641,EPIC/6521 7743,890123456789,ZXCRT8765432190,13049267538,6824513097,U12854MP2014PTC,93746852014,MNBV34567C,YESBANK567890,LOYAL24098153,UCIC300014599,5813249678901234,DG_1_8,DG_2_8,DG_3_8,DG_4_8,DG_5_8,DG_6_8,DG_7_8,DG_8_8,DG_9_8,DG_10_8,CRMS,Co-Applicant,Male,Corporate,Father,Y,Ms,REMARK_8,"10-7-543/21P, Diamond Residency, Beside City Park, Begumpet, Secunderabad",Mangalore,900001,Haryana,I#N_D_I*A,TEMPORARY,"D-345, Golden Greens, Sector 45, Gurgaon, Haryana 122001",Attapur,040-89012345,PERSONAL,anna.miller234@hotmail.com,PERSONAL,RPT_1_8,RPT_2_8,RPT_3_8,RPT_4_8,RPT_5_8
I008,C_I_9,L_I_9,B_I_9,D_I_9,PS_B_9,sai kiran p,likki,sai,reddy,Aditya Bansal,Nidhi Singh,Kabir Kapoor,Vihaan Kapoor,14-06-1980,MNBVC8529I,PA5243666,EPIC/4089 5321,135792468024,QPOWE2345678901,27853491062,9138042576,U96037KL2017PTC,25148703689,ZXCV87654D,IDBI234567890,LOYAL13789642,UCIC300014600,4376902187654321,DG_1_9,DG_2_9,DG_3_9,DG_4_9,DG_5_9,DG_6_9,DG_7_9,DG_8_9,DG_9_9,DG_10_9,Finacle,Co-Applicant,Female,Corporate,Father,Y,Sri,REMARK_9,"18-4-876/23R, Rainbow Colony, Near Community Hall, LB Nagar, Hyderabad",Aurangabad,110002,Himachal Pradesh,I!n_d-i*a,PERMANENT,"101, Jyoti Nagar, Sanganer, Jaipur, Rajasthan 302017",Malkajgiri,040-90123456,OFFICE,brian.walker890@yahoo.com,TEMPORARY,RPT_1_9,RPT_2_9,RPT_3_9,RPT_4_9,RPT_5_9
I009,C_I_10,L_I_10,B_I_10,D_I_10,PS_B_10,reddy p sai,sneha,sai kiran,sneha,Ananya Thakur,Rohan Patel,Priya Joshi,Anushka Bansal,20-03-1999,POIUY9631J,PA5243699,EPIC/7132 4890,246801357901,IUHGD5678901234,23274956810,3749251680,U57320BR2022PTC,67859410253,POIU56789E,CANARA8765432,LOYAL49861325,UCIC300014601,1954678302568743,DG_1_10,DG_2_10,DG_3_10,DG_4_10,DG_5_10,DG_6_10,DG_7_10,DG_8_10,DG_9_10,DG_10_10,Finnone,Co-Applicant,Female,Individual,Mother,N,Smt,REMARK_10,"23-1-432/87Q, Emerald Heights, Opposite Symphony Mall, Kondapur, Hyderabad",Visakhapatnam,201302,Jharkhand,I_N D I A,TEMPORARY,"E-789, Krishna Kunj, Salt Lake City, Kolkata, West Bengal 700091",Chandrayangutta,040-01234567,RESIDENCE,sophia.davis432@gmail.com,OFFICE,RPT_1_10,RPT_2_10,RPT_3_10,RPT_4_10,RPT_5_10
I010,C_I_11,L_I_11,B_I_11,D_I_11,PS_B_11,sai p kiran ,shivani,reddy,pinky,Raghav Patel,Kavya Reddy,Advait Thakur,Yuvraj Verma,07-12-1979,LKJHG7412K,PA5243715,EPIC/2784 6512,111111111111,BCDER7890123456,43820751692,8653127049,U21049TN2011PTC,81492506337,LKJH23456F,UBI876543210,LOYAL76540231,UCIC300014602,8765120349876542,DG_1_11,DG_2_11,DG_3_11,DG_4_11,DG_5_11,DG_6_11,DG_7_11,DG_8_11,DG_9_11,DG_10_11,Finacle,Co-Applicant,Male,Individual,Guardian,N,Mr,REMARK_11,"7-2-345/12K, Serene Apartments, Near Wellness Clinic, Hitech City, Hyderabad",Meerut,400002,Karnataka,I^N_D#I*A,PERMANENT,"234, Ram Nagar, Anna Salai, Chennai, Tamil Nadu 600002",Bowenpally,040-11223344,OFFICE,kevin.white123@hotmail.com,PERMANENT,RPT_1_11,RPT_2_11,RPT_3_11,RPT_4_11,RPT_5_11
